News Outlet,Tweet Date,Tweet Lag,Tweet Text,Positive Score,Negative Score,Neutral Score,Compound Score
@BBCWorld,Tue Jul 31 10:21:49 +0000 2018,1,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.517,0.0,0.483,0.8176
@BBCWorld,Tue Jul 31 10:11:57 +0000 2018,2,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",0.0,0.375,0.625,-0.6124
@BBCWorld,Tue Jul 31 09:21:52 +0000 2018,3,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",0.0,0.348,0.652,-0.5859
@BBCWorld,Tue Jul 31 08:57:57 +0000 2018,4,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:52:33 +0000 2018,5,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:47:23 +0000 2018,6,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,0.0,0.435,0.565,-0.6597
@BBCWorld,Tue Jul 31 07:14:46 +0000 2018,7,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.186,0.0,0.814,0.4939
@BBCWorld,Tue Jul 31 07:02:10 +0000 2018,8,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,0.0,0.659,0.341,-0.9118
@BBCWorld,Tue Jul 31 05:49:49 +0000 2018,9,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:37:41 +0000 2018,10,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:16:41 +0000 2018,11,Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,0.0,0.3,0.7,-0.4588
@BBCWorld,Tue Jul 31 02:40:07 +0000 2018,12,"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",0.127,0.0,0.873,0.4404
@BBCWorld,Tue Jul 31 02:25:20 +0000 2018,13,"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 01:52:42 +0000 2018,14,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.106,0.0,0.894,0.3612
@BBCWorld,Tue Jul 31 00:54:45 +0000 2018,15,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,0.0,0.402,0.598,-0.6908
@BBCWorld,Tue Jul 31 00:44:23 +0000 2018,16,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,0.0,0.351,0.649,-0.6597
@BBCWorld,Tue Jul 31 00:28:38 +0000 2018,17,"Paul Manafort, ex-Trump campaign chief, to begin trial https://t.co/I3W0ZIkHVg",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:23:25 +0000 2018,18,Letter from Africa: How bruised is President Buhari by defections? https://t.co/hzZ9EhPvSo,0.0,0.2,0.8,-0.3612
@BBCWorld,Tue Jul 31 00:12:41 +0000 2018,19,Reality Check: Will the EHIC be valid after Brexit? https://t.co/Usfpl292I6,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:04:09 +0000 2018,20,Intrepid French hunt for sunken warships Cordelière and Regent https://t.co/983c4pRhFJ,0.0,0.143,0.857,-0.128
@BBCWorld,Tue Jul 31 10:21:49 +0000 2018,21,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.517,0.0,0.483,0.8176
@BBCWorld,Tue Jul 31 10:11:57 +0000 2018,22,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",0.0,0.375,0.625,-0.6124
@BBCWorld,Tue Jul 31 09:21:52 +0000 2018,23,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",0.0,0.348,0.652,-0.5859
@BBCWorld,Tue Jul 31 08:57:57 +0000 2018,24,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:52:33 +0000 2018,25,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:47:23 +0000 2018,26,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,0.0,0.435,0.565,-0.6597
@BBCWorld,Tue Jul 31 07:14:46 +0000 2018,27,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.186,0.0,0.814,0.4939
@BBCWorld,Tue Jul 31 07:02:10 +0000 2018,28,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,0.0,0.659,0.341,-0.9118
@BBCWorld,Tue Jul 31 05:49:49 +0000 2018,29,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:37:41 +0000 2018,30,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:16:41 +0000 2018,31,Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,0.0,0.3,0.7,-0.4588
@BBCWorld,Tue Jul 31 02:40:07 +0000 2018,32,"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",0.127,0.0,0.873,0.4404
@BBCWorld,Tue Jul 31 02:25:20 +0000 2018,33,"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 01:52:42 +0000 2018,34,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.106,0.0,0.894,0.3612
@BBCWorld,Tue Jul 31 00:54:45 +0000 2018,35,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,0.0,0.402,0.598,-0.6908
@BBCWorld,Tue Jul 31 00:44:23 +0000 2018,36,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,0.0,0.351,0.649,-0.6597
@BBCWorld,Tue Jul 31 00:28:38 +0000 2018,37,"Paul Manafort, ex-Trump campaign chief, to begin trial https://t.co/I3W0ZIkHVg",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:23:25 +0000 2018,38,Letter from Africa: How bruised is President Buhari by defections? https://t.co/hzZ9EhPvSo,0.0,0.2,0.8,-0.3612
@BBCWorld,Tue Jul 31 00:12:41 +0000 2018,39,Reality Check: Will the EHIC be valid after Brexit? https://t.co/Usfpl292I6,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:04:09 +0000 2018,40,Intrepid French hunt for sunken warships Cordelière and Regent https://t.co/983c4pRhFJ,0.0,0.143,0.857,-0.128
@BBCWorld,Mon Jul 30 21:42:28 +0000 2018,41,IS claims fatal Tajik attack on foreign cyclists https://t.co/7VP5WZTUBY,0.0,0.485,0.515,-0.765
@BBCWorld,Mon Jul 30 21:31:47 +0000 2018,42,James Gunn: Guardians of the Galaxy cast back fired director https://t.co/eH8uqQ9Ocd,0.0,0.265,0.735,-0.5574
@BBCWorld,Mon Jul 30 21:07:36 +0000 2018,43,Les Moonves: No immediate CBS action on harassment claims https://t.co/rflNRh1wIu,0.0,0.416,0.584,-0.6908
@BBCWorld,Mon Jul 30 19:23:22 +0000 2018,44,Trump says ready to meet Iran's Rouhani https://t.co/69paQojCmD,0.263,0.0,0.737,0.3612
@BBCWorld,Mon Jul 30 18:29:25 +0000 2018,45,Trump has 'no problem' with a government shutdown https://t.co/dZlkEFCU1l,0.0,0.45,0.55,-0.5994
@BBCWorld,Mon Jul 30 18:13:33 +0000 2018,46,Russia World Cup: Pussy Riot protesters detained on leaving jail https://t.co/5ZqkwThqK4,0.0,0.506,0.494,-0.802
@BBCWorld,Mon Jul 30 17:46:25 +0000 2018,47,US airport security secretly monitors US citizens on flights https://t.co/ZLdDScljFA,0.211,0.0,0.789,0.34
@BBCWorld,Mon Jul 30 17:43:34 +0000 2018,48,Italy earthquake 'hero dog' found dead https://t.co/JfPj67H2FT,0.279,0.333,0.388,-0.1779
@BBCWorld,Mon Jul 30 17:40:34 +0000 2018,49,Lionel Messi shows his 🐕 why he's the 🐐 https://t.co/UKTrKFiQTB,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 16:32:04 +0000 2018,50,Irish man found in Sydney with serious head injuries https://t.co/LefmSabzB6,0.0,0.126,0.874,-0.0772
@BBCWorld,Mon Jul 30 15:28:38 +0000 2018,51,"RT @bbcthree: In Georgia, techno raves are a form of revolution by liberal youth against far-right groups: https://t.co/EtL705ARya https://…",0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 15:19:45 +0000 2018,52,Taliban sources confirm Qatar meeting with senior US diplomat https://t.co/7XUciF0q5V,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 14:30:27 +0000 2018,53,Archbishop Philip Wilson resigns after sex abuse cover-up https://t.co/WJmW74q9H7,0.0,0.592,0.408,-0.8271
@BBCWorld,Mon Jul 30 14:04:28 +0000 2018,54,Julian Assange: Campaigner or attention-seeker? https://t.co/NHyR7bFPji,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 13:51:07 +0000 2018,55,Chinese ex-online tsar Lu Wei charged with bribery https://t.co/g99KESkY2B,0.0,0.184,0.816,-0.2023
@BBCWorld,Mon Jul 30 13:43:48 +0000 2018,56,Grace Mugabe's immunity annulled by South African court https://t.co/twjtwtlt8Z,0.259,0.0,0.741,0.4215
@BBCWorld,Mon Jul 30 13:14:49 +0000 2018,57,"""What happened to the Rohingya in Myanmar could happen to us here. We are afraid.""

Villagers in the Indian state o… https://t.co/9bBAPAbynj",0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 13:04:41 +0000 2018,58,Kenya race row retailer Chandarana Foodplus defies governor https://t.co/AY27qJXzgg,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 12:51:00 +0000 2018,59,"RT @BBCSport: Sad news. 

Olympic cross-country skiing gold medallist Vibeke Skofterud has died in a jet-skiing accident at the age of 38.…",0.0,0.353,0.647,-0.8689
@BBCWorld,Mon Jul 30 12:33:10 +0000 2018,60,Germany gripped by #MeTwo racism debate https://t.co/rD9gkdNd8y,0.0,0.406,0.594,-0.6249
@BBCWorld,Mon Jul 30 12:30:29 +0000 2018,61,Julian Assange in the Ecuadorian embassy: Timeline https://t.co/JmBR57v0sD,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 12:20:25 +0000 2018,62,Ramsey by-election turnout 'disappointing' https://t.co/vFkpt0REAq,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 11:54:29 +0000 2018,63,India leopard attack: Baby injured after being snatched in Gujarat https://t.co/B9dKthEC20,0.0,0.392,0.608,-0.7003
@BBCWorld,Mon Jul 30 11:36:47 +0000 2018,64,Ben-my-Chree returns after 'unprecedented' turbo failure https://t.co/QJhKIEiB02,0.0,0.355,0.645,-0.5106
@BBCWorld,Mon Jul 30 11:28:53 +0000 2018,65,France shocked over video of woman being slapped by harasser https://t.co/1dhWKCZVcl,0.0,0.388,0.612,-0.6908
@BBCWorld,Mon Jul 30 11:18:20 +0000 2018,66,Why Jeremy Hunt's 'Japanese' wife gaffe is a bad mistake https://t.co/QF7F2ALAHV,0.0,0.424,0.576,-0.7096
@BBCWorld,Mon Jul 30 10:14:32 +0000 2018,67,"This shocking video of prison brutality has caused an outcry in Russia 

https://t.co/7ZhUO7RvAB https://t.co/OKiSkkyWsu",0.0,0.571,0.429,-0.9231
@BBCWorld,Mon Jul 30 09:10:44 +0000 2018,68,Algeria profile - Timeline https://t.co/wiGpiNuvxZ,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 09:08:04 +0000 2018,69,Algeria country profile https://t.co/TdAyD9oAsN,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 09:04:56 +0000 2018,70,A mystery solved after more than 60 years https://t.co/leRo6RYbSG,0.231,0.0,0.769,0.2732
@BBCWorld,Mon Jul 30 08:59:59 +0000 2018,71,RT @BBCNewsbeat: The Melbourne residents managed to trap the kangaroo in the bathroom 🇦🇺 https://t.co/FcVuTn9wBY,0.0,0.141,0.859,-0.3182
@BBCWorld,Mon Jul 30 08:40:52 +0000 2018,72,Tajikistan probes 'attack' that left four foreign cyclists dead https://t.co/OFZ0UL44Iz,0.0,0.323,0.677,-0.6486
@BBCWorld,Mon Jul 30 07:20:46 +0000 2018,73,Cricket Australia accused of sacking woman over abortion tweets https://t.co/c1RxNj9sAg,0.0,0.196,0.804,-0.296
@BBCWorld,Mon Jul 30 07:17:25 +0000 2018,74,"RT @BBCIndia: With Bangladesh unlikely to accept them, where will these millions of people go? @soutikBBC writes.
 https://t.co/CjXFO46ljq",0.133,0.0,0.867,0.3818
@BBCWorld,Mon Jul 30 07:17:19 +0000 2018,75,"RT @BBCBenThompson: As one of Britain's largest travel firms stops selling tickets to marine parks that keep killer whales, we want to know…",0.048,0.217,0.735,-0.6808
@BBCWorld,Mon Jul 30 07:05:02 +0000 2018,76,What happens to India's four million 'stateless' people? https://t.co/rvyHpVB4Js,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 04:32:56 +0000 2018,77,Karunanidhi health: Tamil Nadu former chief minister in hospital https://t.co/WdJUgteql0,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 03:35:00 +0000 2018,78,Assam: Millions risk losing India citizenship https://t.co/9W0UAICIo9,0.0,0.485,0.515,-0.5719
@BBCWorld,Mon Jul 30 03:04:30 +0000 2018,79,"RT @BBCNewsAsia: ""Massive damage."" 

More than 100 people are trapped on Mount Rinjani, a popular hiking destination on the Indonesian tour…",0.116,0.14,0.744,-0.1531
@BBCWorld,Mon Jul 30 02:45:55 +0000 2018,80,Lombok: Hikers trapped on mountain after earthquake https://t.co/5p6F8Myo0a,0.0,0.327,0.673,-0.5267
@BBCWorld,Mon Jul 30 02:38:22 +0000 2018,81,Zimbabwe election: Voters set for first ballot without Mugabe https://t.co/CdRCJBTPHZ,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 02:22:52 +0000 2018,82,'Panicked' kangaroo smashes way into Australian home https://t.co/wLSLr3sIsX,0.0,0.0,1.0,0.0
@BBCWorld,Mon Jul 30 00:40:38 +0000 2018,83,Russian outcry over prison brutality video https://t.co/bYLBXe422C,0.0,0.726,0.274,-0.891
@BBCWorld,Sun Jul 29 21:35:32 +0000 2018,84,California fire: Deadly blazes continues to grow https://t.co/ci6JB4bMN2,0.0,0.255,0.745,-0.34
@BBCWorld,Sun Jul 29 21:14:42 +0000 2018,85,Why Trump attacks the media https://t.co/Ro5lGDrsRG,0.0,0.367,0.633,-0.4404
@BBCWorld,Sun Jul 29 20:08:53 +0000 2018,86,French skier who disappeared in Italy in 1954 is finally identified https://t.co/WeGSPRuv1O,0.0,0.147,0.853,-0.2263
@BBCWorld,Sun Jul 29 17:13:09 +0000 2018,87,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",0.146,0.0,0.854,0.6239
@BBCWorld,Sun Jul 29 16:53:16 +0000 2018,88,New York Times tells Trump: Don't call reporters enemies of the people https://t.co/nEFpbba3pn,0.18,0.0,0.82,0.3875
@BBCWorld,Sun Jul 29 16:50:38 +0000 2018,89,"RT @BBCSport: Less than 20km to go until Geraint Thomas wins the Tour de France for the first time! 👏

Live 👉 https://t.co/ZtkRdPtGio https…",0.129,0.0,0.871,0.6114
@BBCWorld,Sun Jul 29 15:18:41 +0000 2018,90,Ethiopian dam engineer Simegnew Bekele's funeral draws thousands https://t.co/rYSuKlqcjo,0.0,0.238,0.762,-0.3612
@BBCWorld,Sun Jul 29 14:59:44 +0000 2018,91,"RT @bbcf1: ""We came here knowing Ferrari would be really quick this weekend so to come out with these points, we'll definitely take it as a…",0.097,0.0,0.903,0.4019
@BBCWorld,Sun Jul 29 14:59:24 +0000 2018,92,RT @BBCSport: Lewis Hamilton won a tense strategic battle at the Hungarian Grand Prix. He heads into the break with a 24-point lead in the…,0.218,0.163,0.619,0.4019
@BBCWorld,Sun Jul 29 14:59:10 +0000 2018,93,"RT @BBCSport: Lewis Hamilton has won the #HungarianGP for the sixth time. 

His lead in the championship is up to 24 points.

Reaction: htt…",0.231,0.0,0.769,0.765
@BBCWorld,Sun Jul 29 14:52:39 +0000 2018,94,Cambodia election: Ruling party claims landslide in vote with no main opposition https://t.co/Jrc8E9Zchg,0.17,0.138,0.692,0.128
@BBCWorld,Sun Jul 29 14:22:58 +0000 2018,95,"RT @BBCSport: Today's the day!

Geraint Thomas is set to make Tour de France history 👏

We're live 👉 https://t.co/ZtkRdPtGio #bbccycling ht…",0.0,0.0,1.0,0.0
@BBCWorld,Sun Jul 29 12:13:59 +0000 2018,96,Surveying the damage in Lombok after a powerful earthquake hit the popular tourist destination in Indonesia… https://t.co/7tNtDeRPPy,0.257,0.147,0.596,0.34
@BBCWorld,Sun Jul 29 12:10:08 +0000 2018,97,Zimbabwe election: Robert Mugabe gives surprise speech on eve of poll https://t.co/Qog0b6oNFY,0.16,0.0,0.84,0.2732
@BBCWorld,Sun Jul 29 11:02:24 +0000 2018,98,"RT @BBCNews: What's the least popular emoji on Twitter? 😢

https://t.co/q003FloumJ https://t.co/mz0fImuUpB",0.0,0.331,0.669,-0.6632
@BBCWorld,Sun Jul 29 09:56:18 +0000 2018,99,"RT @BBCNews: 🐍😱

Woman wakes to find 'escaped' python in her bed 

https://t.co/4dlj1HGnh1 https://t.co/xS8Gs6bXrF",0.0,0.0,1.0,0.0
@BBCWorld,Sun Jul 29 09:55:46 +0000 2018,100,Polar bear shot dead after attacking cruise ship guard https://t.co/EPNLOiO5SM,0.0,0.477,0.523,-0.8074
@CBSNews,Tue Jul 31 10:31:39 +0000 2018,1,"RT @CBSThisMorning: THIS MORNING:
🔜@PaulaReidCBS  with what you need to know on Manafort trial
🔜@cbsmireya  has the latest on the Californi…",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:19:55 +0000 2018,2,"Publix says dogs aren't allowed in store shopping carts, including service animals https://t.co/xjaQ9iH6yZ https://t.co/rtnnytfBXk",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:10:20 +0000 2018,3,Which tech companies have the most workers who feel overpaid? https://t.co/zz7STCd0aT https://t.co/f1sIVBig0l,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:03:05 +0000 2018,4,"""Sinking coffins"": Lawsuit seeks $100 million for duck boat victims https://t.co/USYoij0Wy0 https://t.co/q7NBREGZBY",0.0,0.296,0.704,-0.4939
@CBSNews,Tue Jul 31 10:02:53 +0000 2018,5,"More Americans are forced to ""reside"" in their vehicles https://t.co/o36frw9xLs https://t.co/draz1dOUAm",0.0,0.246,0.754,-0.5046
@CBSNews,Tue Jul 31 09:53:31 +0000 2018,6,What you need to know about the Paul Manafort trial https://t.co/ZWKHr9Xx7k https://t.co/pXtTRu5dS5,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 09:48:03 +0000 2018,7,"""Guardians of the Galaxy"" cast writes letter in support of ousted director James Gunn https://t.co/3ULrDx6jUK https://t.co/jJ5TvjMrxJ",0.153,0.0,0.847,0.4019
@CBSNews,Tue Jul 31 09:45:28 +0000 2018,8,"What the SEC’s ""best interest"" rule for advisers won't do for investors https://t.co/NYQNRH8HKr https://t.co/CGXoYzsYNQ",0.375,0.0,0.625,0.802
@CBSNews,Tue Jul 31 09:38:05 +0000 2018,9,Man caught on video setting fire at NYC gas station https://t.co/mYbPoCHMln https://t.co/NueMJ3Tdtj,0.0,0.179,0.821,-0.34
@CBSNews,Tue Jul 31 09:32:05 +0000 2018,10,"Gun battle, hostages reportedly held after blast in Afghan city https://t.co/YsMgKr9yFy https://t.co/tGCmqUCxBl",0.0,0.333,0.667,-0.6124
@CBSNews,Tue Jul 31 09:18:04 +0000 2018,11,"Jeff Sessions announces creation of ""religious liberty task force"" https://t.co/WBuihimhn8 https://t.co/gjjyvxPcQr",0.379,0.0,0.621,0.6705
@CBSNews,Tue Jul 31 09:03:04 +0000 2018,12,Self-driving passenger vans hit the road in Texas city https://t.co/In3nTGE0H5 https://t.co/vMoU4e4NY1,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:54:07 +0000 2018,13,"""Bigfoot erotica"" becoming issue in pivotal congressional race https://t.co/h6h4nE9oaL https://t.co/fzEyD3297P",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:48:03 +0000 2018,14,"Advances in IVF testing spurring debate over ""mosaic"" embryos https://t.co/BdMSaU5Eg7 https://t.co/xTpSFs4Lzj",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:33:03 +0000 2018,15,"Bridesmaid begs JetBlue for refund after bride asks her ""to relinquish"" her role via email https://t.co/a7DPnSEKeb https://t.co/ViKhAy0vz9",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:18:03 +0000 2018,16,Canada Dry sued over lack of ginger in ginger ale https://t.co/f6bxiPX0Qy https://t.co/wecaxybmUj,0.0,0.173,0.827,-0.3182
@CBSNews,Tue Jul 31 08:03:05 +0000 2018,17,"Brian Christopher Lawler, former WWE star, dead at 46 https://t.co/trC4JuVb9F https://t.co/TCOl8YrYKs",0.0,0.301,0.699,-0.6486
@CBSNews,Tue Jul 31 07:48:04 +0000 2018,18,Fawn gives cop a kiss after California wildfire rescue https://t.co/xW6KWfx3fi https://t.co/SFJIJFx3f8,0.433,0.0,0.567,0.7269
@CBSNews,Tue Jul 31 07:33:03 +0000 2018,19,Family of man fatally shot while fleeing Chicago police files lawsuit https://t.co/Of46dZ6jT5 https://t.co/O7ln8keL9X,0.0,0.357,0.643,-0.7269
@CBSNews,Tue Jul 31 07:18:04 +0000 2018,20,"Barack Obama, Joe Biden spotted together at Washington, D.C., bakery https://t.co/nZHj94JBIS https://t.co/Uq06n4A1vJ",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:31:39 +0000 2018,21,"RT @CBSThisMorning: THIS MORNING:
🔜@PaulaReidCBS  with what you need to know on Manafort trial
🔜@cbsmireya  has the latest on the Californi…",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:19:55 +0000 2018,22,"Publix says dogs aren't allowed in store shopping carts, including service animals https://t.co/xjaQ9iH6yZ https://t.co/rtnnytfBXk",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:10:20 +0000 2018,23,Which tech companies have the most workers who feel overpaid? https://t.co/zz7STCd0aT https://t.co/f1sIVBig0l,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 10:03:05 +0000 2018,24,"""Sinking coffins"": Lawsuit seeks $100 million for duck boat victims https://t.co/USYoij0Wy0 https://t.co/q7NBREGZBY",0.0,0.296,0.704,-0.4939
@CBSNews,Tue Jul 31 10:02:53 +0000 2018,25,"More Americans are forced to ""reside"" in their vehicles https://t.co/o36frw9xLs https://t.co/draz1dOUAm",0.0,0.246,0.754,-0.5046
@CBSNews,Tue Jul 31 09:53:31 +0000 2018,26,What you need to know about the Paul Manafort trial https://t.co/ZWKHr9Xx7k https://t.co/pXtTRu5dS5,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 09:48:03 +0000 2018,27,"""Guardians of the Galaxy"" cast writes letter in support of ousted director James Gunn https://t.co/3ULrDx6jUK https://t.co/jJ5TvjMrxJ",0.153,0.0,0.847,0.4019
@CBSNews,Tue Jul 31 09:45:28 +0000 2018,28,"What the SEC’s ""best interest"" rule for advisers won't do for investors https://t.co/NYQNRH8HKr https://t.co/CGXoYzsYNQ",0.375,0.0,0.625,0.802
@CBSNews,Tue Jul 31 09:38:05 +0000 2018,29,Man caught on video setting fire at NYC gas station https://t.co/mYbPoCHMln https://t.co/NueMJ3Tdtj,0.0,0.179,0.821,-0.34
@CBSNews,Tue Jul 31 09:32:05 +0000 2018,30,"Gun battle, hostages reportedly held after blast in Afghan city https://t.co/YsMgKr9yFy https://t.co/tGCmqUCxBl",0.0,0.333,0.667,-0.6124
@CBSNews,Tue Jul 31 09:18:04 +0000 2018,31,"Jeff Sessions announces creation of ""religious liberty task force"" https://t.co/WBuihimhn8 https://t.co/gjjyvxPcQr",0.379,0.0,0.621,0.6705
@CBSNews,Tue Jul 31 09:03:04 +0000 2018,32,Self-driving passenger vans hit the road in Texas city https://t.co/In3nTGE0H5 https://t.co/vMoU4e4NY1,0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:54:07 +0000 2018,33,"""Bigfoot erotica"" becoming issue in pivotal congressional race https://t.co/h6h4nE9oaL https://t.co/fzEyD3297P",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:48:03 +0000 2018,34,"Advances in IVF testing spurring debate over ""mosaic"" embryos https://t.co/BdMSaU5Eg7 https://t.co/xTpSFs4Lzj",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:33:03 +0000 2018,35,"Bridesmaid begs JetBlue for refund after bride asks her ""to relinquish"" her role via email https://t.co/a7DPnSEKeb https://t.co/ViKhAy0vz9",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 08:18:03 +0000 2018,36,Canada Dry sued over lack of ginger in ginger ale https://t.co/f6bxiPX0Qy https://t.co/wecaxybmUj,0.0,0.173,0.827,-0.3182
@CBSNews,Tue Jul 31 08:03:05 +0000 2018,37,"Brian Christopher Lawler, former WWE star, dead at 46 https://t.co/trC4JuVb9F https://t.co/TCOl8YrYKs",0.0,0.301,0.699,-0.6486
@CBSNews,Tue Jul 31 07:48:04 +0000 2018,38,Fawn gives cop a kiss after California wildfire rescue https://t.co/xW6KWfx3fi https://t.co/SFJIJFx3f8,0.433,0.0,0.567,0.7269
@CBSNews,Tue Jul 31 07:33:03 +0000 2018,39,Family of man fatally shot while fleeing Chicago police files lawsuit https://t.co/Of46dZ6jT5 https://t.co/O7ln8keL9X,0.0,0.357,0.643,-0.7269
@CBSNews,Tue Jul 31 07:18:04 +0000 2018,40,"Barack Obama, Joe Biden spotted together at Washington, D.C., bakery https://t.co/nZHj94JBIS https://t.co/Uq06n4A1vJ",0.0,0.0,1.0,0.0
@CBSNews,Tue Jul 31 07:03:03 +0000 2018,41,Family believes missing Iowa woman returned home before her disappearance https://t.co/KMrhTQ5YoX https://t.co/1wgHoC6LeW,0.0,0.167,0.833,-0.296
